comment,author,num_likes,rate
형은 망작리뷰할 때가 가장 재밌는것 같어,나이아가라,5,5.530496597290039
52억 투자해서 2억을 건졌다는데 이득인가요??,무비학스팟,7,1.9001781940460205
ㅋㅋㅋ이 영화를 하시다니 수고하셨습니다ㅋㅋ 이 영화 후에 동준이 형님은 재산 탕진으로 전설의 똥꼬쇼를 시작했다죠ㅋㅋ,방구석영화추천,8,3.7158994674682617
ㅋㅋㅋㅋ 아 너무 행복해 시발ㅋㅋㅋㅋㅋ기분좋아 더해줰ㅋㅋㅋㅋㅋㅋ하앍 지무비형 사랑해 ㅋㅋㅋㅋ♡♡,이삼,9,9.284276008605957
왜 이런 병맛 영화는 리뷰로 보면 재밌지? ㅋㅋㅋㅋ 리뷰를 잘하셔서 그런가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,안녕하세요를리히히,21,5.400766849517822
전설의 영화를 리뷰를 이제서야 하시다니.. ㅠㅠ 영화 유튜버는 반드시 이 영화를 리뷰해야한다는 학계의 전설이..,Vieira Juliana TV,31,7.867957592010498
시갈 몸값 12억도 딜 오지게 해서 헐값에 모셔온 값이라지,김해찬,7,3.0479624271392822
와 이게 네이버 평점 9.34를 기록한 전설의 명작이군요!!! 이런걸 리뷰하시다니 너무 좋네요 (더 고통받아 줘요 ㅋㅋㅋ) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,신의겸,5,5.624597072601318
근데 진짜 인터스텔라 브금은 어디에깔리든지 영화를 명작처럼 보이게 만든다,RGB MONITOR,515,7.2593584060668945
90분이 900분 같은 개같은 영화ㅎㅎㅎㅎㅎ,TM Kim,16,4.833003044128418
지나가는 그지가 이거보단 잘만들겠다,동원이,4,5.635560035705566
이동준 저 아저씨 이종격투기 상대팀 매수해서 승 ㅋㅋㅋㅋ 암튼 이영화 감독이 누구냐 ㅡㅡ....,요진,18,1.9699459075927734
마지막에 외국인이 ㅋㅋㅋㅋ 존나 웃기네 나가있어 천박한 새끽 ㅋㅋㅋㅋㅋ,호준,640,5.873252868652344
대부분 유명 영화 리뷰어가 거처야 할 시험....그영화,Jin roy,263,2.4273884296417236
드디어 역대급 명작. 성경 그 자체인 명작을 리뷰하시는구나,청청,12,9.033696174621582
바이러스까지 울었다는 그 영화 ㅋㅋㅋㅋㅋㅋㅋㅋ,Y & Y,8,8.259087562561035
70년도에 찍고 2004년에 개봉한거 아닌가요?..... 이거 너무 한거 아니냐고,Max. A,20,3.4904351234436035
"너무 재밌게 봤습니다, 편집과 화술이 명품이십니다",M.W Kim,23,8.871088981628418
마지막 인터스텔라 브금 개웃기네ㅋㅋㅋ,샤이가위,11,8.394259452819824
설마 이걸 할줄은...ㅋㅋㅋㅋㅋ,아힣헿,13,2.959134340286255
밑도 끝도없이 갑자기 형사가 됨ㅋㅋㅋ영화에 내용이 없어서 망한듯..🤧😖😔 그나저나 영화 전개는 엄청 빠름😁,진돗개덕구,23,5.2947516441345215
